date,AOL,Amazon,Apple,Ask Network,Baidu,CBS,Facebook,Glam Media,Google,Microsoft,Tencent,Total Internet,Wikimedia,Yahoo!,eBay
2009-04,290751439,192441333,167911804,169916000,147447000,192200194,307100669,110811407,845622755,690985683,308955570,1108030946,320042850,-1,246146758
2009-05,286825593,188601849,166754071,171613000,152087000,185351245,315999937,117662608,840410223,682204540,296338559,1122330925,317254958,-1,238147630
2009-06,279555544,185035212,173022287,173766000,148322000,185679000,340011382,110407926,844245495,691361915,304383897,1135655524,302939583,-1,233483267
2009-07,268382654,197306209,177227079,191752000,145361000,195694856,369551030,114546529,853819724,701833783,292795948,1151380737,295484362,-1,236818724
2009-08,260546620,200671325,176467563,189937000,145573000,194036025,389524974,112687633,867617643,707802794,145701020,1165193688,307641428,-1,243334566
2009-09,255088138,201903853,183162618,207555000,147472000,195793801,410952850,125516413,879175953,717909861,149802565,1179318237,325998220,-1,239633702
2009-10,258391659,212204203,187990636,209779000,152490000,201899167,430208903,134384615,891948998,732862095,151019122,1190150960,344563338,-1,243460647
2009-11,256386000,223851000,192620000,213975000,152398000,201809000,438146000,140755000,889522000,730348000,152325000,1206051000,345805000,-1,246712000
2009-12,268197000,240584000,209500000,215730000,152199000,211360000,468708000,159793000,899426000,727410000,153376000,1222237000,347020000,-1,262746000
2010-01,267055000,244658000,204258000,227804000,157107000,211785000,471447000,163824000,919720000,734177000,156423000,1237448000,364719000,-1,259866000
2010-02,255999000,224564000,190382000,214937000,163041000,190589000,462682000,158082000,883498000,734981000,168183000,1203547000,345218000,-1,241811000
2010-03,262514000,230804000,201406000,225365000,169952000,210468000,484209000,164100000,907371000,757017000,172822000,1219389000,370744000,-1,255651000
2010-04,263704000,222873000,212251000,223251000,174710000,204916000,519076000,163918000,921153000,728546000,173092000,1231777000,374846000,-1,253924000
2010-05,266787000,228083000,213166000,215039000,180965000,211496000,548134000,164189000,931583000,789035000,175771000,1244104000,388932000,-1,252803000
2010-06,255895000,221785000,213671000,208313000,174672000,204162000,550939000,167420000,942199000,799898000,177789000,1253406000,379112000,-1,217671000
2010-07,248233000,230554000,212905000,211622000,179920000,209288000,571480000,173248000,952484000,800636000,182572000,1261762000,360225000,-1,217586000
2010-08,221158000,237156000,219498000,216371000,181984000,3202000,598084000,186414000,971045000,814562000,191021000,1285378000,373392000,-1,222435000
2010-09,218426000,234334000,226129000,221821000,184728000,223388000,620269000,179892000,976431000,827496000,197617000,1294784000,398178000,-1,221574000
2010-10,232439000,245082000,227768000,225397000,185318000,222329000,633548000,181888000,976693000,840677000,204266000,1304632000,408350000,-1,222283000
2010-11,239205000,252698000,228285000,233155000,184703000,229265000,647482000,197937000,970109000,869373000,211656000,1313926000,410816000,-1,229915000
2010-12,239550000,263450000,240557000,233444000,185005000,221362000,662420000,196886000,972486000,867914000,215211000,1323535000,395472000,-1,225280000
2011-01,243275000,258169000,236347000,234884000,190956000,226135000,675361000,202299000,985289000,889163000,208512000,1333403000,413957000,-1,226079000
2011-02,229394000,233765000,221271000,220019000,192845000,210949000,676733000,194173000,976374000,837039000,207793000,1339496000,379415000,-1,211945000
2011-03,247697000,271264000,234944000,236956000,202995000,234656000,692998000,204134000,996706000,895813000,214254000,1350539000,400011000,-1,218809000
2011-04,237258000,268611000,228366000,220341000,201227000,217686000,697970000,200186000,990970000,892893000,216190000,1362369000,380716000,-1,215085000
2011-05,238860000,284321000,244182000,224060000,211060000,220230000,713647000,213528000,1009699000,905454000,220707000,1373976000,411061000,-1,225893000
2011-06,231564000,282233000,246889000,212548000,215086000,214019000,734240000,203630000,1023643000,882818000,229175000,1383098000,399362000,-1,223520000
2011-07,227626000,288766000,256743000,217771000,225898000,217962000,736465000,200757000,1031584000,898728000,237849000,1394031000,393543000,-1,224511000
2011-08,227538000,302455000,260749000,227266000,231609000,226901000,752382000,202836000,1048918000,887917000,243094000,1411178000,422779000,-1,230320000
2011-09,220379000,319548000,264537000,240805000,237997000,242571000,769655000,206764000,1066695000,914237000,245220000,1420316000,454529000,-1,232945000
2011-10,224822000,338444000,299360000,255792000,243226000,244382000,788181000,210711000,1083316000,878510000,249286000,1431939000,476627000,-1,244368000
2011-11,219953000,350769000,285234000,245416000,241368000,238148000,792999000,209031000,1081821000,886560000,248554000,1438877000,474723000,-1,243222000
2011-12,221648000,366199000,295771000,239319000,246108000,245870000,794349000,216334000,1092912000,897860000,248644000,1444092000,457063000,-1,241919000
2012-01,218280000,368190000,302250000,266079000,250655000,259109000,805604000,232000000,1107467000,889202000,252822000,1450588000,482157000,-1,254801000
2012-02,218284000,353548000,290757000,243983000,252933000,253798000,790100000,220460000,1107171000,855114000,249661000,1448160000,475699000,-1,237301000
2012-03,221302000,361472000,306808000,263148000,262638000,270398000,805722000,212773000,1139459000,874946000,264118000,1471414000,489402000,-1,241017000
2012-04,215274000,347640000,296129000,256039000,259294000,249467000,809399000,223379000,1142257000,841169000,267441000,1477810000,473380000,-1,238224000
2012-05,215645000,348139000,301594000,271312000,258963000,247019000,828817000,244243000,1150223000,840482000,264853000,1484382000,492393000,-1,247162000
2012-06,215991000,342898000,297900000,266161000,265875000,245461000,834748000,215704000,1157992000,863276000,266708000,1491181000,469644000,-1,238478000
2012-07,208658000,349307000,297106000,267977000,268978000,249047000,834422000,224483000,1173102000,857640000,272969000,1498415000,451821000,-1,245569000
2012-08,217044000,352400000,289245000,263633000,273986000,255418000,821520000,241643000,1161178000,853791000,276181000,1500916000,456255000,-1,248452000
2012-09,218366000,362129000,308688000,240050000,268810000,270247000,820105000,252199000,1133937000,849708000,280038000,1506929000,474864000,-1,248920000
2012-10,224968000,369504000,299868000,315681000,275406000,283104000,822101000,296357000,1140335000,871044000,279937000,1513410000,488364000,-1,252380000
2012-11,223002000,379102000,300081000,305867000,272449000,283103000,819496000,298337000,1124825000,873262000,280478000,1519555000,484489000,-1,247262000
2012-12,220331000,388671000,314241000,317486000,275988000,279517000,836726000,296810000,1136502000,868099000,285268000,1525501000,472552000,-1,252154000
2013-01,226026000,383891000,303827000,331927000,256277000,275358000,818200000,318758000,1140056000,878268000,283652000,1530895000,488473000,-1,246959000
2013-02,213157000,352119000,289082000,254087000,254261000,0,817711000,276802000,1123439000,852263000,274535000,1526768000,482999000,-1,226441000
2013-03,221865000,384160000,306872000,273799000,288897000,0,845445000,294231000,1163988000,896209000,285968000,1554797000,517610000,-1,244653000
2013-04,217725000,390465000,302251000,277281000,328472000,287474000,818469000,297215000,1179091000,914598000,340079000,1560778000,516749000,-1,240874000
2013-05,223081000,395669000,306120000,290440000,335319000,291450000,834871000,296276000,1185840000,920877000,334617000,1566524000,521767000,-1,242756000
2013-06,211573000,383802000,300297000,283949000,356664000,281473000,826868000,283805000,1194404000,891369000,338853000,1572688000,499578000,-1,240614000
2013-07,218890000,403717000,297702000,290419000,358243000,281778000,782863000,252706000,1208800000,877967000,341391000,1582029000,492107000,-1,251910000
2013-08,220277000,405993000,297974000,303111000,354603000,0,784535000,244225000,1208941000,858463000,340053000,1596237000,496875000,-1,251606000
2013-09,221908000,401154000,314312000,296370000,356025000,285899000,818563000,242480000,1209554000,867869000,335772000,1604290000,505904000,-1,256028000
2013-10,236671000,400418000,301442000,303957000,351599000,284796000,816567000,251881000,1214986000,887403000,336537000,1611886000,530471000,-1,258417000
2013-11,241978000,419839000,301093000,296391000,348008000,0,821147000,252107000,1222761000,890718000,335802000,1619952000,532699000,-1,270276000
2013-12,240178000,416846000,304492000,286853000,355931000,0,832074000,250234000,1232646000,897966000,332589000,1627086000,490200000,-1,269474000
2014-01,238932000,392042000,290904000,288554000,342999000,259803000,840644000,241612000,1220700000,893485000,335028000,1632535000,495362000,-1,260230000
2014-02,231887000,374027000,273882000,267105000,342749000,301000,817091000,226983000,1210350000,858433000,322262000,1627681000,474139000,-1,244700000
2014-03,228635000,400096000,293210000,290001000,445753000,254000,838021000,253009000,1253796000,924791000,416643000,1748563000,495184000,-1,255504000
2014-04,223705000,394592000,278280000,268747000,452569000,395000,828802000,236971000,1251918000,891884000,415912000,1759578000,465494000,-1,244409000
2014-05,229229000,388904000,277531000,264102000,445335000,518000,832813000,264369000,1252821000,895617000,412151000,1767054000,468740000,-1,240817000
2014-06,215250000,364439000,269196000,240563000,445035000,360000,818965000,0,1227322000,884956000,411775000,1770264000,431791000,-1,228176000
2014-07,212945000,371964000,269542000,245157000,457489000,477000,822667000,0,1233077000,878525000,417093000,1782610000,412877000,-1,229901000
2014-08,221561000,374612000,264039000,246459000,456414000,353000,814677000,0,1213090000,864403000,416668000,1791357000,418149000,-1,237211000
2014-09,216508000,369374000,283730000,241565000,453392000,407000,798100000,0,1210127000,862945000,413668000,1792909000,440710000,-1,242236000
2014-10,224051000,391484000,282982000,227995000,460300000,392000,792502000,0,1214476000,872418000,415695000,1788878000,459745000,-1,246324000
2014-11,214017000,397659000,269372000,219722000,456539000,462000,773292000,0,1218351000,878324000,412619000,1797541000,457030000,-1,251956000
2014-12,205257000,410968000,273276000,213583000,466492000,523000,799713000,0,1231702000,881815000,412877000,1805207000,446656000,-1,272000000
2015-01,222312000,398551000,267891000,202197000,464146000,468000,802735000,0,1228755000,891833000,416219000,1809768000,455678000,-1,248892000
2015-02,214564000,370490000,245833000,188951000,445742000,401000,786699000,0,1207991000,864714000,405187000,1801581000,437387000,-1,236516000
2015-03,235952000,385918000,246486000,203685000,456699000,580000,800244000,0,1231706000,916875000,414942000,1824894000,453097000,-1,243523000
2015-04,220047000,370332000,241758000,189342000,447117000,332000,819608000,-1,1236049000,897038000,413822000,1833250000,439030000,-1,236862000
