=== Page view data are normalized to 30 day months ===

=== Page view totals non-mobile + mobile ===

,,,,,,,,project,07/2008,08/2008,09/2008,10/2008,11/2008,12/2008,01/2009,02/2009,03/2009,04/2009,05/2009,06/2009,07/2009,08/2009,09/2009,10/2009,11/2009,12/2009,01/2010,02/2010,03/2010,04/2010,05/2010,06/2010,07/2010,08/2010,09/2010,10/2010,11/2010,12/2010,01/2011,02/2011,03/2011,04/2011,05/2011,06/2011,07/2011,08/2011,09/2011,10/2011,11/2011,12/2011,01/2012,02/2012,03/2012,04/2012,05/2012,06/2012,07/2012,08/2012,09/2012,10/2012,11/2012,12/2012,01/2013,02/2013,03/2013,04/2013,05/2013,06/2013,07/2013,08/2013,09/2013,10/2013,11/2013,12/2013,01/2014,02/2014,03/2014,04/2014,05/2014,06/2014,07/2014,08/2014,09/2014,10/2014,11/2014,12/2014,01/2015,02/2015,03/2015,04/2015,05/2015,06/2015
,,,,,,,,Ukrainian,7741730,7479998,10056914,11122875,11532689,13055009,11722207,11825954,13078449,11958979,13016934,11374549,12466958,12214006,16306100,19354444,17725982,20222943,20652170,22563696,18329716,21264365,21256295,19565834,14014321,14665838,24079708,25425338,29901383,29088383,28189801,33134816,31638781,32019827,31570731,27791685,22222451,24187118,35668123,43804027,45952873,49230887,39460966,45999245,45938753,50673404,45513247,33376043,34392000,31431802,50455281,62212683,67839544,73587937,65946409,70306303,80782618,86056220,77647134,83724937,68529002,60755541,68577216,74078615,69527421,76554638,67866950,77656878,75111805,76192822,77209321,64013073,61371971,62349658,86464888,86093606,86982809,86051849,75955288,83299974,83300264,75943111,77669277,58560308,Ukrainian
,,,,,,,,Indonesian,18438876,22539597,22489672,24806525,27105617,21035466,25683151,27594564,27073960,24217134,25131333,21800134,23020149,29689277,27150294,37948207,37525821,31559174,37974104,40455268,36827848,46562731,47025082,42551872,48994167,46835216,45228365,57318351,57522493,47842068,56614603,52389969,53266873,48968206,50009273,46321519,48169443,56929313,68624600,77543836,77304709,66774996,73927763,73854081,73425324,70115334,69006179,65042821,64916847,70560627,89406656,92924759,94870215,94846525,100185653,93806310,92992799,96741749,95445777,97640413,93568835,94759981,120705843,125235758,121474182,111929928,132324218,140686041,143656456,134793263,129746506,135412616,130626813,167526159,185363329,159361835,150938899,126134694,140853790,139616484,149716891,145761878,142797964,115474932,Indonesian
,,,,,,,,Hungarian,20292202,19741722,24972629,27664720,28453647,26446667,33762583,29762149,31606103,29329841,31917828,28966266,25959652,27609728,32933066,37134586,37319923,33087494,38011279,38493008,33160150,38317264,41302909,39638395,36677573,36119657,42877522,43281504,44589450,41956935,49287242,43554894,44441878,41386122,42814201,40337397,38818975,42020899,44257164,48806853,45559116,44106450,49785783,47133099,46508025,45425562,47739077,46784832,42013496,48245185,48302880,50960486,54426192,54437912,65434217,65264814,66501236,59894123,60722371,58239948,55321378,52556907,52659593,56209625,57374189,56833973,65382199,64497295,64969136,65161204,60812635,62246954,60759692,67414757,68485278,61609163,63002388,60186755,68194980,65727560,64898270,65204868,67310188,56478105,Hungarian
,,,,,,,,Vietnamese,14170742,16558651,16491426,18627902,17922016,17498801,14869575,19192891,20971117,19527486,20499255,22091383,20985084,21274759,23991041,28193924,28501164,29403514,29710169,25151012,27496862,32860522,29058788,25827600,25664741,27053575,28480330,30757942,31652577,29873265,29036313,31255286,34615397,34556650,32433706,31315330,31431847,39173549,41845222,49933829,43829463,42197633,34209014,47780561,47312785,48157921,44326155,44873265,43925443,45386952,51665273,58547268,58588161,62257208,62801154,60656803,71976561,66739863,69698510,73915973,69071782,71742222,64209637,82648596,70123675,63149510,56812521,66132458,71903558,72894520,69040467,69956416,72552869,73998301,77392261,75849255,66932945,65075478,61069966,56121332,69951973,72164604,69931740,64216322,Vietnamese
,,,,,,,,Finnish,47233877,51430818,56292068,59435391,58444812,55320279,64223457,61331024,62117650,55148718,55800332,47707338,48061441,52492234,55879477,56036968,57310141,51155128,57126145,57340528,52079197,61645394,62030353,56216708,56120049,59183253,64539165,63106234,65532698,62164661,69410959,64525292,67408530,62940801,64300804,56962700,58249897,67043016,67420624,69054732,64559263,63513725,67778525,65315132,66275840,65742936,64120024,61129785,61647740,65917984,70588355,69651339,73815707,74693864,77658733,77337929,74394177,72072609,73178906,73366461,74581035,69485492,74939585,71700422,69953091,70760823,82370423,84426497,86495482,79304853,77892075,80047978,79811437,81989115,87916811,80755401,79089901,77117470,80703799,77684559,80113911,81508529,81230102,67988883,Finnish

=== Page view totals non-mobile ===

,,,,,,,,project,07/2008,08/2008,09/2008,10/2008,11/2008,12/2008,01/2009,02/2009,03/2009,04/2009,05/2009,06/2009,07/2009,08/2009,09/2009,10/2009,11/2009,12/2009,01/2010,02/2010,03/2010,04/2010,05/2010,06/2010,07/2010,08/2010,09/2010,10/2010,11/2010,12/2010,01/2011,02/2011,03/2011,04/2011,05/2011,06/2011,07/2011,08/2011,09/2011,10/2011,11/2011,12/2011,01/2012,02/2012,03/2012,04/2012,05/2012,06/2012,07/2012,08/2012,09/2012,10/2012,11/2012,12/2012,01/2013,02/2013,03/2013,04/2013,05/2013,06/2013,07/2013,08/2013,09/2013,10/2013,11/2013,12/2013,01/2014,02/2014,03/2014,04/2014,05/2014,06/2014,07/2014,08/2014,09/2014,10/2014,11/2014,12/2014,01/2015,02/2015,03/2015,04/2015,05/2015,06/2015
,,,,,,,,English,5135131814,4974344046,5479533823,5669431390,5415832055,5043588824,5615498275,5943558064,6092089410,5988817321,6066080834,5818924182,5614497075,5604048759,5937922018,6041279704,5841504417,5258610830,5883232992,6227014896,6446465754,8213623221,8126959544,7693291857,7450284923,7143238703,7263472259,7212376915,7202955037,6801517052,7412654552,7430878240,7119605492,6860227743,6815458875,6601891312,6396427276,6673418872,6926488856,7193811417,7507641641,7005246572,7556590973,7789786698,7121171250,7268748584,7533367066,7524265988,7567138575,7631265541,7913689733,8109638758,8219987195,8282123585,9044258283,8679560217,8420806295,8056747058,7828161177,7759959717,7206442836,6532641989,6416824570,6787011746,6809731985,6540016673,7139631075,7198065223,7223315346,7216222190,7299841382,6577315107,6542915744,6526227194,7564488686,6329285364,6103975584,5631453856,5830894664,5978175759,6143401370,6200050131,6120781349,5165255003,English
