Date,All editors,Active editors (5>edits),Very editors (100>edits),New editors (<6 month old)
2006-02,2542408.0,2456963.0,1910160.0,1055310.0
2006-03,2941247.0,2835937.0,2211568.0,1270062.0
2006-04,2875421.0,2766301.0,2120605.0,1203663.0
2006-05,3241791.0,3119800.0,2407176.0,1383834.0
2006-06,3332851.0,3209641.0,2468191.0,1330546.0
2006-07,3530399.0,3397917.0,2613556.0,1381545.0
2006-08,3801287.0,3649047.0,2786164.0,1480830.0
2006-09,3496951.0,3340638.0,2519810.0,1289087.0
2006-10,3736122.0,3565895.0,2716488.0,1363873.0
2006-11,3833069.0,3646351.0,2749217.0,1308420.0
2006-12,3878714.0,3690385.0,2775803.0,1253767.0
2007-01,4295119.0,4086762.0,3109848.0,1314979.0
2007-02,4072168.0,3856229.0,2892948.0,1261605.0
2007-03,4520369.0,4288660.0,3263859.0,1334646.0
2007-04,4385730.0,4159978.0,3149207.0,1245927.0
2007-05,4446243.0,4228633.0,3238414.0,1208745.0
2007-06,4070165.0,3882502.0,2990416.0,1023165.0
2007-07,4080429.0,3891539.0,2964496.0,1036435.0
2007-08,3956614.0,3764738.0,2881180.0,965054.0
2007-09,3774427.0,3575221.0,2729615.0,873766.0
2007-10,3927641.0,3716307.0,2842061.0,893312.0
2007-11,3760897.0,3563354.0,2735682.0,802098.0
2007-12,3640484.0,3460816.0,2673817.0,758340.0
2008-01,4203521.0,4001824.0,3156881.0,833334.0
2008-02,4025342.0,3822194.0,2981965.0,833337.0
2008-03,4289282.0,4075866.0,3200945.0,930016.0
2008-04,4155789.0,3946202.0,3085581.0,884313.0
2008-05,4058595.0,3853355.0,2999086.0,862031.0
2008-06,3813226.0,3632876.0,2825445.0,834331.0
2008-07,3894274.0,3717185.0,2904185.0,805704.0
2008-08,3876229.0,3699075.0,2893756.0,776519.0
2008-09,3838457.0,3654373.0,2890647.0,736040.0
2008-10,3962903.0,3765125.0,2978213.0,784980.0
2008-11,3610162.0,3422523.0,2669330.0,737855.0
2008-12,3629785.0,3449562.0,2693843.0,685440.0
2009-01,3885133.0,3689649.0,2894209.0,714228.0
2009-02,3567002.0,3376988.0,2611727.0,708904.0
2009-03,4093663.0,3894699.0,3083172.0,878720.0
2009-04,3704605.0,3516907.0,2736906.0,682813.0
2009-05,3812252.0,3619517.0,2837615.0,803675.0
2009-06,3548582.0,3365620.0,2590694.0,660823.0
2009-07,3523922.0,3346239.0,2574106.0,675270.0
2009-08,3658917.0,3481287.0,2722354.0,648382.0
2009-09,3558964.0,3378681.0,2662088.0,639123.0
2009-10,3547892.0,3358022.0,2613619.0,642244.0
2009-11,3555654.0,3366353.0,2624533.0,720055.0
2009-12,3623278.0,3445280.0,2735431.0,796863.0
2010-01,3601634.0,3409760.0,2658652.0,601658.0
2010-02,3371950.0,3184720.0,2472025.0,587705.0
2010-03,3660665.0,3465027.0,2712097.0,652132.0
2010-04,3489329.0,3303534.0,2583371.0,611879.0
2010-05,3513900.0,3329026.0,2586699.0,618312.0
2010-06,3246739.0,3079888.0,2397676.0,555137.0
2010-07,3311127.0,3149189.0,2466296.0,534340.0
2010-08,3472722.0,3309108.0,2612823.0,559417.0
2010-09,3436732.0,3275177.0,2610371.0,529757.0
2010-10,3463971.0,3295629.0,2634302.0,575040.0
2010-11,3257359.0,3093840.0,2434826.0,523039.0
2010-12,3180957.0,3024437.0,2374944.0,494425.0
2011-01,3571393.0,3396937.0,2688114.0,524888.0
2011-02,3179485.0,3001908.0,2307013.0,517021.0
2011-03,3287102.0,3093351.0,2363676.0,563487.0
2011-04,3081268.0,2900688.0,2197559.0,540015.0
2011-05,3152526.0,2973858.0,2278822.0,535371.0
2011-06,3106046.0,2930012.0,2247618.0,516664.0
2011-07,3206780.0,3031266.0,2347443.0,508160.0
2011-08,3274457.0,3094550.0,2406905.0,533667.0
2011-09,3088911.0,2909889.0,2234009.0,525620.0
2011-10,3137842.0,2958511.0,2272216.0,546334.0
2011-11,3105224.0,2931033.0,2265513.0,534917.0
2011-12,3220859.0,3055578.0,2394758.0,570944.0
2012-01,3344039.0,3162936.0,2489590.0,528104.0
