Date,1 edit,2-5 edits,6-50 edits,51-100 edits,101-500 edits,501-1000 edits,>1000 edits
2006-04,2209.0,7706.0,37391.0,22787.0,100233.0,74601.0,209441.0
2006-05,2344.0,8631.0,41408.0,26207.0,114049.0,98118.0,171058.0
2006-06,2185.0,8301.0,42265.0,25858.0,128133.0,105029.0,185716.0
2006-07,2191.0,7755.0,40247.0,26402.0,129054.0,78099.0,181513.0
2006-08,2434.0,8932.0,46450.0,28164.0,134817.0,94238.0,199018.0
2006-09,2605.0,9406.0,43538.0,24923.0,140617.0,89930.0,166552.0
2006-10,2952.0,10204.0,46684.0,26623.0,133095.0,97135.0,212633.0
2006-11,2973.0,10611.0,48246.0,25182.0,140333.0,100889.0,228867.0
2006-12,2809.0,10199.0,47022.0,28329.0,138451.0,105644.0,194434.0
2007-01,3367.0,12035.0,53452.0,32548.0,144173.0,104706.0,222964.0
2007-02,3184.0,11447.0,49795.0,29844.0,142881.0,98716.0,236574.0
2007-03,3346.0,11999.0,51551.0,28920.0,139789.0,109761.0,268312.0
2007-04,3217.0,11256.0,51141.0,30212.0,133786.0,95700.0,295518.0
2007-05,3579.0,12745.0,55124.0,31248.0,161873.0,106027.0,357267.0
2007-06,3172.0,11373.0,50392.0,29595.0,146926.0,112100.0,291290.0
2007-07,2794.0,10800.0,50341.0,29442.0,153026.0,110149.0,267941.0
2007-08,3142.0,11039.0,51602.0,31230.0,153371.0,125921.0,299620.0
2007-09,3970.0,12667.0,50915.0,29869.0,143821.0,104304.0,233963.0
2007-10,4430.0,14088.0,51033.0,27542.0,153456.0,113192.0,278087.0
2007-11,4691.0,14339.0,50809.0,27962.0,150647.0,112663.0,233103.0
2007-12,4263.0,13452.0,51508.0,30148.0,148846.0,101124.0,197315.0
2008-01,4857.0,15347.0,58097.0,30616.0,158450.0,123518.0,211806.0
2008-02,4550.0,15032.0,57612.0,32864.0,155058.0,118335.0,205575.0
2008-03,4933.0,16383.0,61095.0,33322.0,165689.0,121784.0,229385.0
2008-04,4663.0,15051.0,60486.0,31238.0,162993.0,109492.0,212620.0
2008-05,4776.0,15023.0,57755.0,31970.0,164034.0,115674.0,224694.0
2008-06,4796.0,14628.0,53851.0,29884.0,162578.0,113736.0,193886.0
2008-07,4526.0,13982.0,54115.0,32738.0,156202.0,96632.0,205886.0
2008-08,4591.0,14039.0,53692.0,32458.0,148139.0,109057.0,189768.0
2008-09,5165.0,15134.0,50909.0,29919.0,150442.0,99058.0,160279.0
2008-10,5596.0,16641.0,52846.0,30197.0,145844.0,90154.0,187409.0
2008-11,5599.0,16662.0,53565.0,27203.0,149945.0,92632.0,172084.0
2008-12,5245.0,15591.0,52152.0,28398.0,142112.0,107301.0,174568.0
2009-01,5681.0,16963.0,58440.0,30227.0,160664.0,101707.0,191104.0
2009-02,4913.0,14938.0,54276.0,31052.0,141786.0,114303.0,157250.0
2009-03,5158.0,15584.0,53786.0,32728.0,155912.0,107154.0,184854.0
2009-04,5045.0,15137.0,55197.0,31754.0,152413.0,95024.0,185163.0
2009-05,5155.0,15424.0,57976.0,33041.0,153045.0,131263.0,195098.0
2009-06,4986.0,15366.0,56974.0,32337.0,160585.0,109220.0,185688.0
2009-07,4851.0,14689.0,56459.0,31391.0,152517.0,99681.0,169477.0
2009-08,4975.0,14745.0,56293.0,31237.0,146887.0,133491.0,194361.0
2009-09,5250.0,15370.0,52469.0,30520.0,154644.0,107981.0,209734.0
2009-10,5567.0,15835.0,56179.0,30157.0,154853.0,119937.0,229080.0
2009-11,5644.0,16279.0,57673.0,33276.0,152821.0,121006.0,192300.0
2009-12,5454.0,15985.0,56447.0,30727.0,149568.0,110724.0,201354.0
2010-01,6059.0,18068.0,61538.0,30838.0,160502.0,121574.0,227680.0
2010-02,5610.0,16282.0,55481.0,33882.0,160523.0,111164.0,198656.0
2010-03,5911.0,16876.0,59937.0,33154.0,159513.0,120607.0,218657.0
2010-04,5610.0,16313.0,55069.0,33545.0,151003.0,109432.0,195872.0
2010-05,5858.0,16855.0,56208.0,34591.0,154540.0,114618.0,201188.0
2010-06,5505.0,15683.0,53074.0,31467.0,145835.0,94352.0,213436.0
2010-07,5083.0,14740.0,52681.0,30191.0,136808.0,104134.0,196202.0
2010-08,5302.0,15486.0,55514.0,29612.0,150462.0,106796.0,213596.0
2010-09,5330.0,15716.0,52181.0,27779.0,151747.0,105322.0,219159.0
2010-10,5630.0,15665.0,54924.0,32373.0,149659.0,110560.0,215390.0
2010-11,5846.0,15929.0,53796.0,32598.0,150641.0,116416.0,186360.0
2010-12,5665.0,15756.0,53665.0,32861.0,152554.0,115249.0,192455.0
2011-01,6241.0,17701.0,59235.0,33753.0,160251.0,115472.0,212237.0
2011-02,5982.0,16348.0,54888.0,30649.0,156363.0,99938.0,184497.0
2011-03,6097.0,17704.0,58009.0,33947.0,154067.0,108223.0,210100.0
2011-04,5755.0,16287.0,54215.0,30589.0,153264.0,102568.0,192737.0
2011-05,5896.0,16721.0,55055.0,29242.0,151025.0,102788.0,209742.0
2011-06,5659.0,15957.0,55050.0,33130.0,153354.0,106244.0,250689.0
