Date,1 edit,2-5 edits,6-50 edits,51-100 edits,101-500 edits,501-1000 edits,>1000 edits
2009-07,52996.0,52933.0,32718.0,3368.0,4060.0,770.0,543.0
2009-08,54047.0,52347.0,32331.0,3373.0,4101.0,800.0,556.0
2009-09,54753.0,53263.0,31292.0,3040.0,4020.0,761.0,518.0
2009-10,58020.0,55871.0,32369.0,3193.0,3926.0,811.0,554.0
2009-11,57339.0,55624.0,32336.0,3189.0,3797.0,769.0,505.0
2009-12,54393.0,52542.0,30740.0,3082.0,3850.0,714.0,501.0
2010-01,58731.0,56282.0,32558.0,3268.0,3912.0,823.0,586.0
2010-02,56990.0,55180.0,31203.0,3012.0,3858.0,762.0,516.0
2010-03,59820.0,57653.0,33018.0,3200.0,3928.0,782.0,570.0
2010-04,56206.0,54874.0,31769.0,3050.0,3847.0,753.0,542.0
2010-05,56662.0,54335.0,32267.0,3148.0,3758.0,747.0,536.0
2010-06,50954.0,49317.0,29489.0,2923.0,3695.0,728.0,473.0
2010-07,49332.0,47833.0,29101.0,2991.0,3616.0,733.0,521.0
2010-08,49486.0,48386.0,29384.0,3068.0,3765.0,761.0,545.0
2010-09,49261.0,47499.0,28204.0,2932.0,3579.0,743.0,527.0
2010-10,51039.0,49515.0,28816.0,2788.0,3603.0,756.0,510.0
2010-11,50115.0,48163.0,28275.0,2854.0,3470.0,653.0,501.0
2010-12,47663.0,46160.0,27700.0,2821.0,3471.0,647.0,492.0
2011-01,53148.0,51615.0,30736.0,3043.0,3700.0,752.0,570.0
2011-02,54808.0,52006.0,30348.0,2927.0,3431.0,704.0,488.0
2011-03,59767.0,56851.0,31933.0,3104.0,3592.0,713.0,513.0
2011-04,55638.0,52928.0,30574.0,2995.0,3566.0,679.0,465.0
2011-05,55575.0,52238.0,30252.0,2945.0,3522.0,663.0,477.0
2011-06,55278.0,51079.0,29474.0,2971.0,3442.0,678.0,447.0
2011-07,55456.0,50929.0,29186.0,2984.0,3568.0,684.0,451.0
2011-08,57401.0,51837.0,29631.0,2954.0,3493.0,680.0,496.0
2011-09,57415.0,51734.0,29591.0,2844.0,3372.0,698.0,432.0
2011-10,56835.0,51988.0,30073.0,2881.0,3450.0,655.0,455.0
2011-11,55399.0,50390.0,28904.0,2838.0,3386.0,645.0,453.0
2011-12,52259.0,47967.0,28607.0,2833.0,3547.0,703.0,454.0
2012-01,56715.0,52581.0,29402.0,2867.0,3501.0,707.0,511.0
