Date,All editors,Active editors (5>edits),Very editors (100>edits),New editors (<6 month old)
2008/03/01,174679.0,56230.0,6377.0,98397.0
2008/04/01,171572.0,55032.0,6147.0,95319.0
2008/05/01,167477.0,53904.0,6031.0,91527.0
2008/06/01,150142.0,50087.0,5865.0,78533.0
2008/07/01,148618.0,50447.0,6052.0,76061.0
2008/08/01,148331.0,49619.0,5912.0,76313.0
2008/09/01,151451.0,48190.0,5569.0,79369.0
2008/10/01,160643.0,50106.0,5591.0,86722.0
2008/11/01,153059.0,48038.0,5390.0,80757.0
2008/12/01,147873.0,47268.0,5433.0,75533.0
2009/01/01,160371.0,50921.0,5859.0,83527.0
2009/02/01,155511.0,48693.0,5411.0,82487.0
2009/03/01,163111.0,51613.0,5714.0,87523.0
2009/04/01,154432.0,48732.0,5478.0,81043.0
2009/05/01,157587.0,49344.0,5589.0,82534.0
2009/06/01,150474.0,48125.0,5448.0,77326.0
2009/07/01,147388.0,47584.0,5412.0,75239.0
2009/08/01,147555.0,47168.0,5494.0,73976.0
2009/09/01,147646.0,45687.0,5328.0,74403.0
2009/10/01,154743.0,47264.0,5326.0,79967.0
2009/11/01,153557.0,46818.0,5099.0,78990.0
2009/12/01,145821.0,44974.0,5092.0,72647.0
2010/01/01,156160.0,47386.0,5357.0,79779.0
2010/02/01,151520.0,45609.0,5170.0,78749.0
2010/03/01,158968.0,48066.0,5324.0,82746.0
2010/04/01,151039.0,46153.0,5183.0,77151.0
2010/05/01,151451.0,46615.0,5072.0,75929.0
2010/06/01,137578.0,43007.0,4924.0,67097.0
2010/07/01,134127.0,42511.0,4916.0,64410.0
2010/08/01,135395.0,43164.0,5097.0,65010.0
2010/09/01,132745.0,41410.0,4876.0,64321.0
2010/10/01,137027.0,42026.0,4905.0,67510.0
2010/11/01,134030.0,41302.0,4654.0,65619.0
2010/12/01,128951.0,40463.0,4647.0,61393.0
2011/01/01,143564.0,44717.0,5058.0,69688.0
2011/02/01,144711.0,43799.0,4657.0,72923.0
2011/03/01,156471.0,46219.0,4838.0,81455.0
2011/04/01,146845.0,44258.0,4746.0,75256.0
2011/05/01,145672.0,43806.0,4696.0,73365.0
2011/06/01,143369.0,42616.0,4597.0,73106.0
2011/07/01,143258.0,42523.0,4735.0,73271.0
2011/08/01,146492.0,42956.0,4708.0,74719.0
2011/09/01,146085.0,42796.0,4537.0,75923.0
2011/10/01,146337.0,43294.0,4595.0,76804.0
2011/11/01,142015.0,41894.0,4521.0,74220.0
2011/12/01,136370.0,41559.0,4730.0,68913.0
2012/01/01,146284.0,42844.0,4760.0,74096.0
